Date;Q
1922-10-01;122.0
1922-10-02;95.9
1922-10-03;153.0
1922-10-04;90.1
1922-10-05;90.1
1922-10-06;102.0
1922-10-07;90.1
1922-10-08;90.1
1922-10-09;95.9
1922-10-10;90.1
1922-10-11;84.6
1922-10-12;90.1
1922-10-13;95.9
1922-10-14;90.1
1922-10-15;84.6
1922-10-16;84.6
1922-10-17;90.1
1922-10-18;84.6
1922-10-19;90.1
1922-10-20;90.1
1922-10-21;84.6
1922-10-22;79.1
1922-10-23;84.6
1922-10-24;79.1
1922-10-25;84.6
1922-10-26;79.1
1922-10-27;79.1
1922-10-28;84.6
1922-10-29;79.1
1922-10-30;73.6
1922-10-31;73.6
1922-11-01;68.1
1922-11-02;57.8
1922-11-03;55.3
1922-11-04;50.3
1922-11-05;47.8
1922-11-06;45.4
1922-11-07;45.4
1922-11-08;43.1
1922-11-09;40.8
1922-11-10;38.6
1922-11-11;38.6
1922-11-12;38.6
1922-11-13;45.4
1922-11-14;43.1
1922-11-15;38.6
1922-11-16;36.4
1922-11-17;36.4
1922-11-18;34.2
1922-11-19;34.2
1922-11-20;34.2
1922-11-21;34.2
1922-11-22;34.2
1922-11-23;32.2
1922-11-24;32.2
1922-11-25;32.2
1922-11-26;32.2
1922-11-27;30.2
1922-11-28;55.3
1922-11-29;43.1
1922-11-30;36.4
1922-12-01;34.2
1922-12-02;34.2
1922-12-03;30.2
1922-12-04;30.2
1922-12-05;28.6
1922-12-06;28.2
1922-12-07;28.2
1922-12-08;26.5
1922-12-09;26.5
1922-12-10;25.8
1922-12-11;25.8
1922-12-12;25.1
1922-12-13;25.8
1922-12-14;26.5
1922-12-15;25.8
1922-12-16;25.1
1922-12-17;25.1
1922-12-18;24.4
1922-12-19;24.4
1922-12-20;23.7
1922-12-21;23.7
1922-12-22;22.3
1922-12-23;22.3
1922-12-24;22.3
1922-12-25;21.6
1922-12-26;21.6
1922-12-27;20.9
1922-12-28;20.9
1922-12-29;20.9
1922-12-30;20.2
1922-12-31;19.5
1923-01-01;23.0
1923-01-02;34.2
1923-01-03;30.2
1923-01-04;24.4
1923-01-05;25.1
1923-01-06;22.3
1923-01-07;20.2
1923-01-08;19.5
1923-01-09;18.9
1923-01-10;18.9
1923-01-11;18.3
1923-01-12;18.3
1923-01-13;18.3
1923-01-14;18.3
1923-01-15;18.3
1923-01-16;18.3
1923-01-17;18.3
1923-01-18;18.3
1923-01-19;18.3
1923-01-20;45.4
1923-01-21;47.8
1923-01-22;45.4
1923-01-23;36.4
1923-01-24;25.8
1923-01-25;23.0
1923-01-26;20.9
1923-01-27;19.5
1923-01-28;18.3
1923-01-29;18.3
1923-01-30;18.3
1923-01-31;18.3
1923-02-01;18.3
1923-02-02;17.7
1923-02-03;17.7
1923-02-04;17.7
1923-02-05;17.1
1923-02-06;17.1
1923-02-07;17.1
1923-02-08;16.5
1923-02-09;16.5
1923-02-10;16.5
1923-02-11;16.5
1923-02-12;16.5
1923-02-13;16.5
1923-02-14;16.5
1923-02-15;16.5
1923-02-16;16.5
1923-02-17;17.1
1923-02-18;16.5
1923-02-19;16.5
1923-02-20;15.9
1923-02-21;15.9
1923-02-22;15.9
1923-02-23;15.9
1923-02-24;16.5
1923-02-25;16.5
1923-02-26;15.9
1923-02-27;15.9
1923-02-28;14.7
1923-03-01;17.7
1923-03-02;15.9
1923-03-03;14.7
1923-03-04;14.7
1923-03-05;14.7
1923-03-06;14.7
1923-03-07;14.2
1923-03-08;14.2
1923-03-09;13.7
1923-03-10;13.7
1923-03-11;13.7
1923-03-12;14.2
1923-03-13;13.7
1923-03-14;13.7
1923-03-15;13.7
1923-03-16;13.7
1923-03-17;13.2
1923-03-18;13.2
1923-03-19;13.7
1923-03-20;13.7
1923-03-21;13.7
1923-03-22;14.2
1923-03-23;14.2
1923-03-24;14.2
1923-03-25;13.7
1923-03-26;13.7
1923-03-27;13.2
1923-03-28;12.7
1923-03-29;12.7
1923-03-30;13.2
1923-03-31;13.2
1923-04-01;13.7
1923-04-02;14.2
1923-04-03;14.2
1923-04-04;14.7
1923-04-05;14.7
1923-04-06;15.3
1923-04-07;22.3
1923-04-08;19.5
1923-04-09;16.5
1923-04-10;17.1
1923-04-11;28.2
1923-04-12;68.1
1923-04-13;90.1
1923-04-14;95.9
1923-04-15;87.5
1923-04-16;79.1
1923-04-17;60.3
1923-04-18;45.4
1923-04-19;28.2
1923-04-20;30.2
1923-04-21;79.1
1923-04-22;90.1
1923-04-23;57.8
1923-04-24;40.8
1923-04-25;38.6
1923-04-26;36.4
1923-04-27;34.2
1923-04-28;50.3
1923-04-29;50.3
1923-04-30;47.8
1923-05-01;68.1
1923-05-02;47.8
1923-05-03;49.0
1923-05-04;50.3
1923-05-05;52.8
1923-05-06;55.3
1923-05-07;43.1
1923-05-08;137.0
1923-05-09;260.0
1923-05-10;302.0
1923-05-11;250.0
1923-05-12;260.0
1923-05-13;221.0
1923-05-14;208.0
1923-05-15;194.0
1923-05-16;203.0
1923-05-17;130.0
1923-05-18;122.0
1923-05-19;102.0
1923-05-20;79.1
1923-05-21;108.0
1923-05-22;96.3
1923-05-23;84.6
1923-05-24;73.6
1923-05-25;62.8
1923-05-26;57.8
1923-05-27;52.8
1923-05-28;47.8
1923-05-29;45.4
1923-05-30;43.1
1923-05-31;43.1
1923-06-01;40.8
1923-06-02;38.6
1923-06-03;36.4
1923-06-04;39.0
1923-06-05;50.0
1923-06-06;45.0
1923-06-07;42.0
1923-06-08;40.0
1923-06-09;48.0
1923-06-10;46.0
1923-06-11;50.0
1923-06-12;43.0
1923-06-13;44.0
1923-06-14;45.0
1923-06-15;47.0
1923-06-16;52.0
1923-06-17;57.8
1923-06-18;57.8
1923-06-19;60.3
1923-06-20;68.1
1923-06-21;90.1
1923-06-22;68.1
1923-06-23;55.3
1923-06-24;62.8
1923-06-25;73.6
1923-06-26;90.1
1923-06-27;68.1
1923-06-28;52.8
1923-06-29;55.3
1923-06-30;52.8
1923-07-01;47.8
1923-07-02;57.8
1923-07-03;95.9
1923-07-04;115.0
1923-07-05;137.0
1923-07-06;122.0
1923-07-07;102.0
1923-07-08;79.1
1923-07-09;73.6
1923-07-10;73.6
1923-07-11;79.1
1923-07-12;62.8
1923-07-13;62.8
1923-07-14;60.3
1923-07-15;60.3
1923-07-16;61.6
1923-07-17;62.8
1923-07-18;57.8
1923-07-19;52.8
1923-07-20;50.3
1923-07-21;50.3
1923-07-22;60.3
1923-07-23;52.8
1923-07-24;43.1
1923-07-25;52.8
1923-07-26;68.1
1923-07-27;55.3
1923-07-28;40.8
1923-07-29;52.8
1923-07-30;55.3
1923-07-31;38.6
1923-08-01;36.4
1923-08-02;36.4
1923-08-03;30.2
1923-08-04;28.2
1923-08-05;26.5
1923-08-06;62.8
1923-08-07;57.0
1923-08-08;47.8
1923-08-09;38.6
1923-08-10;36.4
1923-08-11;73.6
1923-08-12;15.9
1923-08-13;20.9
1923-08-14;30.2
1923-08-15;36.4
1923-08-16;37.5
1923-08-17;38.6
1923-08-18;39.7
1923-08-19;40.8
1923-08-20;20.2
1923-08-21;34.2
1923-08-22;43.1
1923-08-23;40.8
1923-08-24;34.2
1923-08-25;34.2
1923-08-26;34.2
1923-08-27;52.8
1923-08-28;52.8
1923-08-29;60.3
1923-08-30;68.1
1923-08-31;73.6
1923-09-01;90.1
1923-09-02;68.1
1923-09-03;50.3
1923-09-04;52.8
1923-09-05;57.8
1923-09-06;79.1
1923-09-07;73.6
1923-09-08;57.8
1923-09-09;57.8
1923-09-10;137.0
1923-09-11;102.0
1923-09-12;130.0
1923-09-13;108.0
1923-09-14;90.1
1923-09-15;145.0
1923-09-16;108.0
1923-09-17;95.0
1923-09-18;115.0
1923-09-19;95.0
1923-09-20;130.0
1923-09-21;130.0
1923-09-22;95.9
1923-09-23;73.6
1923-09-24;62.8
1923-09-25;194.0
1923-09-26;84.6
1923-09-27;84.6
1923-09-28;68.1
1923-09-29;57.8
1923-09-30;55.3
1923-10-01;154.0
1923-10-02;135.0
1923-10-03;175.0
1923-10-04;94.3
1923-10-05;70.0
1923-10-06;56.4
1923-10-07;49.4
1923-10-08;42.0
1923-10-09;164.0
1923-10-10;204.0
1923-10-11;149.0
1923-10-12;135.0
1923-10-13;88.3
1923-10-14;66.1
1923-10-15;71.3
1923-10-16;66.1
1923-10-17;60.0
1923-10-18;55.2
1923-10-19;52.8
1923-10-20;56.4
1923-10-21;55.2
1923-10-22;67.4
1923-10-23;56.4
1923-10-24;186.0
1923-10-25;303.0
1923-10-26;198.0
1923-10-27;180.0
1923-10-28;228.0
1923-10-29;512.0
1923-10-30;216.0
1923-10-31;234.0
1923-11-01;210.0
1923-11-02;164.0
1923-11-03;149.0
1923-11-04;144.0
1923-11-05;130.0
1923-11-06;126.0
1923-11-07;114.0
1923-11-08;110.0
1923-11-09;102.0
1923-11-10;135.0
1923-11-11;98.0
1923-11-12;94.3
1923-11-13;88.3
1923-11-14;82.3
1923-11-15;76.7
1923-11-16;71.3
1923-11-17;68.7
1923-11-18;68.7
1923-11-19;64.8
1923-11-20;61.2
1923-11-21;58.8
1923-11-22;71.3
1923-11-23;56.4
1923-11-24;55.2
1923-11-25;54.0
1923-11-26;50.5
1923-11-27;48.3
1923-11-28;47.2
1923-11-29;46.1
1923-11-30;46.1
1923-12-01;44.0
1923-12-02;42.0
1923-12-03;41.0
1923-12-04;41.0
1923-12-05;41.0
1923-12-06;40.0
1923-12-07;38.2
1923-12-08;37.3
1923-12-09;36.4
1923-12-10;35.5
1923-12-11;35.5
1923-12-12;34.6
1923-12-13;33.7
1923-12-14;33.7
1923-12-15;33.7
1923-12-16;32.8
1923-12-17;31.9
1923-12-18;31.9
1923-12-19;33.7
1923-12-20;32.8
1923-12-21;31.9
1923-12-22;31.9
1923-12-23;31.0
1923-12-24;30.1
1923-12-25;29.2
1923-12-26;28.4
1923-12-27;27.6
1923-12-28;27.6
1923-12-29;27.6
1923-12-30;26.8
1923-12-31;26.0
1924-01-01;24.5
1924-01-02;24.5
1924-01-03;23.8
1924-01-04;23.1
1924-01-05;23.1
1924-01-06;23.1
1924-01-07;29.2
1924-01-08;29.2
