Date;Q;	P
1922-10-01;122.0;0.0
1922-10-02;95.9;2.0
1922-10-03;153.0;2.3
1922-10-04;90.1;5.3
1922-10-05;90.1;4.2
1922-10-06;102.0;5.2
1922-10-07;90.1;1.3
1922-10-08;90.1;4.2
1922-10-09;95.9;3.1
1922-10-10;90.1;2.2
1922-10-11;84.6;6.3
1922-10-12;90.1;5.4
1922-10-13;95.9;0.0
1922-10-14;90.1;0.0
1922-10-15;84.6;4.2
1922-10-16;84.6;2.2
1922-10-17;90.1;4.3
1922-10-18;84.6;5.2
1922-10-19;90.1;6.2
1922-10-20;90.1;0.0
1922-10-21;84.6;0.0
1922-10-22;79.1;0.0
1922-10-23;84.6;0.0
1922-10-24;79.1;0.0
1922-10-25;84.6;2.2
1922-10-26;79.1;0.0
1922-10-27;79.1;0.0
1922-10-28;84.6;0.0
1922-10-29;79.1;2.1
1922-10-30;73.6;0.0
1922-10-31;73.6;0.0
1922-11-01;68.1;0.0
1922-11-02;57.8;0.0
1922-11-03;55.3;0.0
1922-11-04;50.3;0.0
1922-11-05;47.8;0.0
1922-11-06;45.4;0.0
1922-11-07;45.4;0.0
1922-11-08;43.1;0.0
1922-11-09;40.8;0.0
1922-11-10;38.6;0.0
1922-11-11;38.6;0.0
1922-11-12;38.6;7.2
1922-11-13;45.4;3.4
1922-11-14;43.1;1.3
1922-11-15;38.6;0.0
1922-11-16;36.4;0.0
1922-11-17;36.4;0.0
1922-11-18;34.2;0.0
1922-11-19;34.2;0.0
1922-11-20;34.2;0.0
1922-11-21;34.2;0.0
1922-11-22;34.2;0.0
1922-11-23;32.2;0.0
1922-11-24;32.2;0.0
1922-11-25;32.2;0.0
1922-11-26;32.2;0.0
1922-11-27;30.2;2.2
1922-11-28;55.3;2.0
1922-11-29;43.1;0.0
1922-11-30;36.4;0.0
1922-12-01;34.2;0.0
1922-12-02;34.2;0.0
1922-12-03;30.2;0.0
1922-12-04;30.2;0.0
1922-12-05;28.6;0.0
1922-12-06;28.2;0.0
1922-12-07;28.2;0.0
1922-12-08;26.5;0.0
1922-12-09;26.5;0.0
1922-12-10;25.8;0.0
1922-12-11;25.8;0.0
1922-12-12;25.1;0.0
1922-12-13;25.8;0.0
1922-12-14;26.5;3.2
1922-12-15;25.8;0.0
1922-12-16;25.1;0.0
1922-12-17;25.1;1.0
1922-12-18;24.4;0.0
1922-12-19;24.4;1.2
1922-12-20;23.7;0.0
1922-12-21;23.7;0.0
1922-12-22;22.3;0.0
1922-12-23;22.3;0.0
1922-12-24;22.3;0.0
1922-12-25;21.6;0.0
1922-12-26;21.6;0.0
1922-12-27;20.9;0.0
1922-12-28;20.9;0.0
1922-12-29;20.9;0.0
1922-12-30;20.2;2.1
1922-12-31;19.5;3.2
1923-01-01;23.0;0.0
1923-01-02;34.2;0.0
1923-01-03;30.2;0.0
1923-01-04;24.4;0.0
1923-01-05;25.1;0.0
1923-01-06;22.3;0.0
1923-01-07;20.2;0.0
1923-01-08;19.5;0.0
1923-01-09;18.9;0.0
1923-01-10;18.9;0.0
1923-01-11;18.3;0.0
1923-01-12;18.3;2.1
1923-01-13;18.3;0.0
1923-01-14;18.3;0.0
1923-01-15;18.3;0.0
1923-01-16;18.3;0.0
1923-01-17;18.3;1.2
1923-01-18;18.3;2.2
1923-01-19;18.3;4.1
1923-01-20;45.4;3.2
1923-01-21;47.8;1.2
1923-01-22;45.4;0.0
1923-01-23;36.4;0.0
1923-01-24;25.8;0.0
1923-01-25;23.0;0.0
1923-01-26;20.9;0.0
1923-01-27;19.5;0.0
1923-01-28;18.3;0.0
1923-01-29;18.3;0.0
1923-01-30;18.3;0.0
1923-01-31;18.3;0.0
1923-02-01;18.3;0.0
1923-02-02;17.7;0.0
1923-02-03;17.7;0.0
1923-02-04;17.7;2.1
1923-02-05;17.1;0.0
1923-02-06;17.1;0.0
1923-02-07;17.1;0.0
1923-02-08;16.5;0.0
1923-02-09;16.5;0.0
1923-02-10;16.5;0.0
1923-02-11;16.5;0.0
1923-02-12;16.5;0.0
1923-02-13;16.5;0.0
1923-02-14;16.5;0.0
1923-02-15;16.5;2.2
1923-02-16;16.5;3.2
1923-02-17;17.1;0.0
1923-02-18;16.5;0.0
1923-02-19;16.5;2.2
1923-02-20;15.9;3.2
1923-02-21;15.9;0.0
1923-02-22;15.9;0.0
1923-02-23;15.9;2.1
1923-02-24;16.5;3.0
1923-02-25;16.5;4.2
1923-02-26;15.9;1.2
1923-02-27;15.9;1.0
1923-02-28;14.7;2.1
